t;h;g;l
00:00;19.602;14.645;17.925
00:15;18.418;14.524;17.158
00:30;17.849;14.431;16.508
00:45;17.125;14.364;15.975
01:00;16.584;14.257;15.558
01:15;16.130;14.174;15.242
01:30;15.883;14.068;15.008
01:45;15.476;14.079;14.817
02:00;15.464;14.090;14.675
02:15;15.342;14.017;14.567
02:30;15.244;13.966;14.467
02:45;15.170;14.060;14.367
03:00;15.281;14.145;14.242
03:15;15.263;14.282;14.108
03:30;15.316;14.391;13.992
03:45;15.376;14.674;13.892
04:00;15.721;14.876;13.850
04:15;15.914;15.060;13.858
04:30;16.250;15.664;13.933
04:45;16.978;16.259;14.125
05:00;17.712;17.223;14.433
05:15;18.124;18.117;14.917
05:30;19.010;19.553;15.617
05:45;19.974;21.721;16.592
06:00;21.751;24.169;17.900
06:15;23.266;25.876;19.633
06:30;24.072;28.516;21.917
06:45;24.549;32.126;24.850
07:00;24.741;37.012;28.500
07:15;24.636;40.776;32.692
07:30;24.430;44.456;37.200
07:45;23.993;48.842;41.767
08:00;23.455;53.372;46.125
08:15;23.179;55.694;49.875
08:30;22.610;57.517;52.550
08:45;22.213;59.694;53.642
09:00;22.082;60.959;52.917
09:15;22.077;61.556;50.725
09:30;22.087;62.419;47.683
09:45;22.002;63.580;44.375
10:00;21.806;65.572;41.325
10:15;21.930;65.658;38.817
10:30;22.174;65.566;37.042
10:45;22.594;65.452;36.283
11:00;23.188;65.557;36.575
11:15;24.037;65.341;37.408
11:30;24.681;65.073;38.158
11:45;25.052;64.307;38.133
12:00;25.130;62.155;36.883
12:15;25.125;60.450;34.775
12:30;25.119;58.871;32.325
12:45;25.177;57.413;30.108
13:00;24.933;56.607;28.533
13:15;24.892;55.639;27.575
13:30;24.876;54.682;27.042
13:45;24.555;54.424;26.783
14:00;24.238;54.818;26.642
14:15;24.163;54.308;26.558
14:30;24.132;54.316;26.517
14:45;24.167;53.649;26.483
15:00;24.624;52.856;26.417
15:15;24.569;51.999;26.375
15:30;24.756;50.752;26.383
15:45;25.067;49.417;26.475
16:00;25.897;47.975;26.700
16:15;26.403;46.970;27.175
16:30;27.081;45.622;28.033
16:45;27.962;44.303;29.408
17:00;29.427;42.647;31.400
17:15;30.791;41.209;34.017
17:30;32.160;39.979;37.217
17:45;33.940;38.812;40.983
18:00;35.863;36.172;45.208
18:15;37.681;34.110;49.433
18:30;39.363;31.677;53.167
18:45;40.786;30.251;55.883
19:00;41.566;28.490;57.192
19:15;41.692;26.712;57.075
19:30;41.384;25.668;55.642
19:45;40.679;24.947;53.025
20:00;39.854;23.670;49.392
20:15;38.596;22.720;45.158
20:30;37.119;21.705;40.825
20:45;35.846;20.864;36.892
21:00;34.929;20.048;33.750
21:15;33.811;19.464;31.325
21:30;32.696;18.823;29.450
21:45;32.334;18.122;27.950
22:00;31.766;17.315;26.658
22:15;30.057;16.810;25.492
22:30;28.609;16.352;24.417
22:45;26.788;16.118;23.317
23:00;25.298;15.687;22.158
23:15;23.717;15.348;21.008
23:30;22.381;15.137;19.875
23:45;21.075;14.938;18.842
